The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.migrate.jakarta.JavaxInterceptorToJakartaInterceptor,10,9,6349,1244,23041,3337
org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml,10,9,50345,15629,65931,9279
org.openrewrite.java.spring.boot2.MergeBootstrapYamlWithApplicationYaml,10,9,2086719,464210,192400,25786
org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim,10,9,5302,637,26256,11173
org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator,10,9,12985,2567,20329,3806
org.openrewrite.java.migrate.DeprecatedJavaxSecurityCert,10,9,5193,680,28015,6530
org.openrewrite.maven.AddPlugin,10,9,0,0,9266,1049
org.openrewrite.java.migrate.jakarta.JakartaFacesXhtmlEE10,10,9,9590,2553,15811,2330
org.openrewrite.java.testing.mockito.MockitoWhenOnStaticToMockStatic,10,9,0,0,63817,5593
org.openrewrite.java.spring.doc.RemoveBeanValidatorPluginsConfiguration,10,9,0,0,124394,16176
org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioOutputBuffers,10,9,5632,596,51761,23573
org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerArrayWeakCompareAndSetToWeakCompareAndSetPlain,10,9,4918,713,15184,2494
org.openrewrite.java.testing.junit5.AssertToAssertions,10,9,0,0,103369632,103280315
org.openrewrite.java.spring.boot2.MigrateUndertowServletWebServerFactorySetEagerInitFilters,10,9,12561,2683,39039,7103
org.openrewrite.maven.RemovePluginDependency,10,9,0,0,1063455,755769
org.openrewrite.java.migrate.DeprecatedLogRecordThreadID,10,9,4485,655,31569,9371
org.openrewrite.java.ReplaceAnnotation,10,9,0,0,4371338,557479
org.openrewrite.xml.ChangeTagAttribute,10,9,0,0,26218735,4925809
org.openrewrite.java.migrate.jakarta.Faces3xMigrationToFaces4x,10,9,10555,1560,31642,3810
org.openrewrite.java.migrate.logging.JavaLoggingAPIs,10,9,172367,165702,41672,4948
org.openrewrite.java.spring.boot3.ActuatorEndpointSanitization,10,9,13080,3601,37119,11903
org.openrewrite.java.spring.ChangeSpringPropertyKey,10,9,0,0,963715162,19715302
org.openrewrite.java.migrate.jakarta.RemovalsServletJakarta10,10,9,5001,1108,28215,4125
org.openrewrite.apache.httpclient5.OutputBufferWriteAddOffsetAndLengthArguments,10,9,0,0,36733,8205
org.openrewrite.java.migrate.SunNetSslPackageUnavailable,10,9,4696,740,14138,1752
org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic,10,9,5576,703,19869,3155
org.openrewrite.java.spring.security6.RemoveUseAuthorizationManager,10,9,9993,1263,52892,32445
org.openrewrite.java.testing.testcontainers.ExplicitContainerImage,10,9,0,0,96034,4228
org.openrewrite.java.testing.junit5.RunnerToExtension,10,9,0,0,441074978,387841592
org.openrewrite.java.migrate.jakarta.RemovedUIComponentConstant,10,9,12058,1572,47307,7453
