The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.spring.security5.AuthorizeHttpRequests,10,9,0,0,2123264,498537
org.openrewrite.java.migrate.jakarta.JavaxEEApiToJakarta,10,9,5608,706,20830,2841
org.openrewrite.hibernate.TypeAnnotationParameter,10,9,0,0,73354,12215
org.openrewrite.java.testing.mockito.Mockito1to3Migration,10,9,17355,3244,30170,1721
org.openrewrite.java.migrate.javax.MigrateJaxBWSPlugin,10,9,11121,1248,18273,2252
org.openrewrite.java.spring.batch.ListenerSupportClassToInterface,10,9,11214,3045,21308,3195
org.openrewrite.java.migrate.jakarta.WsWsocServerContainerDeprecation,10,9,7531,1381,24141,4326
org.openrewrite.java.migrate.jakarta.UpdateRestLet2_6,10,9,17126,1977,32354,11198
org.openrewrite.java.spring.security6.UpdateEnableReactiveMethodSecurity,10,9,0,0,62110,12954
org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers,10,9,79288,36695,79931,53532
org.openrewrite.java.testing.mockito.MockUtilsToStatic,10,9,0,0,144022,50129
org.openrewrite.java.migrate.sql.JavaSqlAPIs,10,9,5950,707,18754,5150
org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs,10,9,3059,628,11865,1296
org.openrewrite.java.migrate.UpgradeBuildToJava17,10,9,6416,1641,32466,5480
org.openrewrite.java.migrate.UpgradeBuildToJava11,10,9,6800,612,16497,2658
org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain,10,9,5023,649,15600,2015
org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors,10,9,9309,4631,14942,2348
org.openrewrite.java.SimplifyMethodChain,10,9,0,0,452105,106286
org.openrewrite.java.migrate.jakarta.UpdateManagedBeanToNamed,10,9,0,0,580023,265217
org.openrewrite.java.spring.boot2.MigrateHttpMessageConvertersPackageName,10,9,10467,2232,32671,4678
org.openrewrite.java.springdoc.SpringFoxToSpringDoc,10,9,39960,6525,51409,9104
org.openrewrite.java.migrate.javax.MigrateAbstractElementVisitor6To9,10,9,7180,2040,25748,4869
org.openrewrite.java.migrate.jakarta.RemovedSOAPElementFactory,10,9,6429,1422,13562,1541
org.openrewrite.java.migrate.jakarta.MigratePluginsForJakarta10,10,9,14684,2851,21543,3357
org.openrewrite.java.AddCommentToImport,10,9,0,0,3514314,1259646
org.openrewrite.java.migrate.jakarta.UpdateAnnotationAttributeJavaxToJakarta,10,9,0,0,5005386,441788
org.openrewrite.apache.httpclient5.InputBufferReadAddOffsetAndLengthArguments,10,9,0,0,30973,6620
org.openrewrite.java.spring.security6.UseSha256InRememberMe,10,9,0,0,261022,141897
org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl,10,9,3719,647,12483,1219
org.openrewrite.java.spring.boot3.RemoveSolrAutoConfigurationExclude,10,9,0,0,1518127,983750
org.openrewrite.java.spring.boot2.HeadersConfigurerLambdaDsl,10,9,0,0,81496,22370
org.openrewrite.java.testing.hamcrest.AddHamcrestIfUsed,10,9,31412,5695,60843,11226
org.openrewrite.java.testing.junit5.MockitoJUnitToMockitoExtension,10,9,0,0,231876,64219
org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory,10,9,3769,629,11764,1020
org.openrewrite.java.spring.boot2.MigrateConfigurationPropertiesBindingPostProcessorValidatorBeanName,10,9,0,0,79130,8502
org.openrewrite.java.migrate.ArrayStoreExceptionToTypeNotPresentException,10,9,0,0,48434,14750
org.openrewrite.java.testing.mockito.AnyToNullable,10,9,24087026,5707118,269468,67318
org.openrewrite.java.spring.boot2.MoveAutoConfigurationToImportsFile,10,9,596191,500254,1563827,689457
org.openrewrite.java.migrate.RemovedPolicy,10,9,6885,1409,21256,4396
org.openrewrite.java.spring.boot2.MigrateDiskSpaceHealthIndicatorConstructor,10,9,0,0,61920,4837
org.openrewrite.maven.ChangeDependencyScope,10,9,0,0,544894,227372
org.openrewrite.java.AddCommentToMethodInvocations,10,9,0,0,916609,216589
org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin,10,9,11792,4176,14491,1267
org.openrewrite.java.spring.kafka.RemoveUsingCompletableFuture,10,9,0,0,9476410,3329114
org.openrewrite.java.migrate.jakarta.JavaxFacesTagLibraryXmlToJakartaFacesTagLibraryXml,10,9,7526,1246,42708,6634
org.openrewrite.java.migrate.jakarta.JavaxXmlToJakartaXmlXJCBinding,10,9,17393,1847,30890,3398
org.openrewrite.java.spring.boot3.SpringBootProperties_3_0,10,9,9854,1259,29823,4631
org.openrewrite.apache.httpclient5.UsernamePasswordCredentials,10,9,0,0,34282,6792
org.openrewrite.java.migrate.jakarta.UpdateJakartaFacesApi3,10,9,11588,1350,28631,2338
org.openrewrite.java.migrate.lang.MigrateClassLoaderDefineClass,10,9,0,0,3096541,792500
org.openrewrite.java.migrate.jakarta.FileuploadToFileUpload2,10,9,7197,2455,20794,4385
org.openrewrite.java.spring.boot3.SpringBootProperties_3_1,10,9,3620,683,9608,4229
org.openrewrite.java.spring.security5.UpdateArgon2PasswordEncoder,10,9,0,0,35928,6233
org.openrewrite.java.migrate.UseJavaUtilBase64,10,9,0,0,209591,75031
org.openrewrite.java.spring.framework.HttpComponentsClientHttpRequestFactoryReadTimeout,10,9,0,0,28634,8846
org.openrewrite.java.migrate.jakarta.UpdateJakartaFacesApi4,10,9,7624,2683,14225,1620
org.openrewrite.java.spring.data.UseJpaRepositoryDeleteAllInBatch,10,9,14217,5010,26816,5971
org.openrewrite.java.migrate.IllegalArgumentExceptionToAlreadyConnectedException,10,9,0,0,21970,4473
org.openrewrite.java.migrate.jakarta.FacesJNDINamesChanged,10,9,116199,109022,39077,6298
org.openrewrite.java.migrate.RemovedSecurityManagerMethods,10,9,0,0,1534748,324314
org.openrewrite.java.spring.boot2.ServerHttpSecurityLambdaDsl,10,9,0,0,78228,11455
org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast,10,9,0,0,29746,9673
org.openrewrite.java.migrate.jakarta.JavaxInterceptorToJakartaInterceptor,10,9,25451,16614,16220,2321
org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml,10,9,31534,2348,44778,9038
org.openrewrite.java.spring.boot2.MergeBootstrapYamlWithApplicationYaml,10,9,1874974,270447,214284,60344
org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim,10,9,4129,699,18455,7525
org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator,10,9,10706,3174,16366,1942
org.openrewrite.java.migrate.DeprecatedJavaxSecurityCert,10,9,4651,570,28542,3916
org.openrewrite.maven.AddPlugin,10,9,0,0,8569,2317
org.openrewrite.java.migrate.jakarta.JakartaFacesXhtmlEE10,10,9,6874,1761,14897,1256
org.openrewrite.java.testing.mockito.MockitoWhenOnStaticToMockStatic,10,9,0,0,49509,3381
org.openrewrite.java.spring.doc.RemoveBeanValidatorPluginsConfiguration,10,9,0,0,103201,8327
org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioOutputBuffers,10,9,6106,550,31230,6912
org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerArrayWeakCompareAndSetToWeakCompareAndSetPlain,10,9,4934,628,13039,1261
org.openrewrite.java.testing.junit5.AssertToAssertions,10,9,0,0,92742945,92634974
org.openrewrite.java.spring.boot2.MigrateUndertowServletWebServerFactorySetEagerInitFilters,10,9,11587,1751,29572,2565
org.openrewrite.maven.RemovePluginDependency,10,9,0,0,1506840,1339137
org.openrewrite.java.migrate.DeprecatedLogRecordThreadID,10,9,4413,610,20660,5092
org.openrewrite.java.ReplaceAnnotation,10,9,0,0,3034899,293842
org.openrewrite.xml.ChangeTagAttribute,10,9,0,0,28882448,2343757
org.openrewrite.java.migrate.jakarta.Faces3xMigrationToFaces4x,10,9,6272,1409,30437,7085
